# BEGIN PLOT
CustomLegend=LHC 13 TeV\\$\mu_{R/F}=\tfrac{1}{2}\,H_\mathrm{T}'$\\CT14 NLO
DrawOnly=B NLO-QCD NLO-QCD-JV NLO-EW NLO-QCDxEW NLO-QCDxEW-JV NLO-QCD+EW NLO-QCD+EW-JV 
Legend=1
Legend1=1
Legend1Only=B NLO-QCD NLO-EW NLO-QCD+EW NLO-QCDxEW
Legend1XPos=0.57
Legend1YPos=0.9
LegendOnly=//home/marek/work/aav-ew/results/yodas/envelopes-aaz/aaz_B.yoda/MC_AAZ_NLOEW/pT_y2 //home/marek/work/aav-ew/results/yodas/envelopes-aaz/aaz_BVIRS_QCD.yoda/MC_AAZ_NLOEW/pT_y2 //home/marek/work/aav-ew/results/yodas/envelopes-aaz/aaz_BVIRS_QCD_JETVETO.yoda/MC_AAZ_NLOEW/pT_y2 //home/marek/work/aav-ew/results/yodas/envelopes-aaz/aaz_BVIRS_EW.yoda/MC_AAZ_NLOEW/pT_y2 //home/marek/work/aav-ew/results/yodas/envelopes-aaz/aaz_BVIRS_QCD+EW.yoda/MC_AAZ_NLOEW/pT_y2 //home/marek/work/aav-ew/results/yodas/envelopes-aaz/aaz_BVIRS_QCD+EW_JETVETO.yoda/MC_AAZ_NLOEW/pT_y2 //home/marek/work/aav-ew/results/yodas/envelopes-aaz/aaz_BVIRS_QCDxEW.yoda/MC_AAZ_NLOEW/pT_y2 //home/marek/work/aav-ew/results/yodas/envelopes-aaz/aaz_BVIRS_QCDxEW_JETVETO.yoda/MC_AAZ_NLOEW/pT_y2
LegendXPos=0.2
LegendYPos=0.9
LogY=1
PlotSize=10,5
RatioPlot=0
RatioPlot1=1
RatioPlot1DrawOnly=B NLO-QCD NLO-EW NLO-QCDxEW NLO-QCD+EW 
RatioPlot1Reference=B
RatioPlot1SameStyle=1
RatioPlot1YLabel=d$\sigma$/d$\sigma_\text{LO}$
RatioPlot1YMajorTickMarks=5
RatioPlot1YMax=1.9999
RatioPlot1YMin=0.5001
RatioPlot1YSize=3
RatioPlot2=1
RatioPlot2DrawOnly=B NLO-QCD-JV NLO-EW NLO-QCDxEW-JV NLO-QCD+EW-JV 
RatioPlot2Reference=B
RatioPlot2SameStyle=1
RatioPlot2YLabel=d$\sigma$/d$\sigma_\text{LO}$
RatioPlot2YMajorTickMarks=5
RatioPlot2YMax=1.4999
RatioPlot2YMin=0.0001
RatioPlot2YSize=3
RatioPlot3=1
RatioPlot3DrawOnly=B NLO-EW
RatioPlot3Reference=B
RatioPlot3SameStyle=1
RatioPlot3YLabel=d$\sigma$/d$\sigma_\text{LO}$
RatioPlot3YMajorTickMarks=20
RatioPlot3YMax=1.1999
RatioPlot3YMin=0.6001
RatioPlot3YSize=3
Rebin=100	2	160	4	200	10	250	14	320	16	400	20
Title=\hspace*{85pt}$\text{pp} \to \gamma\gamma\; e^+e^-$\; @\; 13 TeV
XLabel=$p_{\mathrm{T},\gamma_2}$ [GeV]
XTwosidedTicks=1
YLabel=d$\sigma$/d$p_\mathrm{T}$ [pb/GeV]
YMax=1e-3
YMin=1e-9
YTwosidedTicks=1
# END PLOT


# BEGIN SPECIAL jetveto
Location=RatioPlot2
\rput[Bl]{0}(0.04,0.17){$\boldsymbol{p_\mathrm{T}^\mathrm{veto}=\text{\textbf{30\;GeV}}}$}
# END SPECIAL


# BEGIN SPECIAL nojetveto
Location=RatioPlot1
\rput[Bl]{0}(0.04,0.75){$\boldsymbol{p_\mathrm{T,jet}^\mathrm{veto}=\infty}$}
# END SPECIAL


# BEGIN SPECIAL label
Location=MainPlot
\rput[tr]{90}(1.008,1.){\textsc{Sherpa+GoSam}}
# END SPECIAL

# BEGIN HISTO1D //home/marek/work/aav-ew/results/yodas/envelopes-aaz/aaz_B.yoda/MC_AAZ_NLOEW/pT_y2
ErrorBandColor=blue
ErrorBandOpacity=0.2
ErrorBands=1
ErrorType=env
LineColor=blue!80!black
LineStyle=dotted
LineWidth=1.5pt
Name=B
Path=//home/marek/work/aav-ew/results/yodas/envelopes-aaz/aaz_B.yoda/MC_AAZ_NLOEW/pT_y2
Title=LO
ZeroDivisionValue=1.
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	2.000000e+01	4.554382e-04	5.136340e-05	4.580520e-05
2.000000e+01	2.500000e+01	1.732662e-04	1.636654e-05	1.428018e-05
2.500000e+01	3.000000e+01	8.235320e-05	6.690900e-06	5.738260e-06
3.000000e+01	3.500000e+01	4.413744e-05	3.073440e-06	2.588240e-06
3.500000e+01	4.000000e+01	2.592444e-05	1.545740e-06	1.276780e-06
4.000000e+01	4.500000e+01	1.632768e-05	8.338200e-07	6.744200e-07
4.500000e+01	5.000000e+01	1.085010e-05	4.743160e-07	3.748220e-07
5.000000e+01	5.500000e+01	7.536862e-06	2.819080e-07	2.170500e-07
5.500000e+01	6.000000e+01	5.432230e-06	1.740720e-07	1.301220e-07
6.000000e+01	6.500000e+01	4.024030e-06	1.103720e-07	7.971000e-08
6.500000e+01	7.000000e+01	3.053280e-06	7.086800e-08	4.900000e-08
7.000000e+01	7.500000e+01	2.369134e-06	4.598800e-08	3.003200e-08
7.500000e+01	8.000000e+01	1.860076e-06	2.979600e-08	1.800380e-08
8.000000e+01	8.500000e+01	1.477960e-06	1.908140e-08	1.025520e-08
8.500000e+01	9.000000e+01	1.199541e-06	1.175660e-08	5.055000e-09
9.000000e+01	9.500000e+01	9.798692e-07	6.777600e-09	1.665000e-09
9.500000e+01	1.000000e+02	8.074524e-07	3.579400e-09	0.000000e+00
1.000000e+02	1.050000e+02	6.727332e-07	1.823800e-09	0.000000e+00
1.050000e+02	1.100000e+02	5.639148e-07	2.593400e-09	1.868000e-10
1.100000e+02	1.150000e+02	4.757012e-07	3.121800e-09	1.240000e-09
1.150000e+02	1.200000e+02	4.054460e-07	3.393600e-09	1.907600e-09
1.200000e+02	1.250000e+02	3.470328e-07	3.502200e-09	2.327800e-09
1.250000e+02	1.300000e+02	2.978730e-07	3.519600e-09	2.598800e-09
1.300000e+02	1.350000e+02	2.584408e-07	3.437800e-09	2.703000e-09
1.350000e+02	1.400000e+02	2.246918e-07	3.319000e-09	2.735600e-09
1.400000e+02	1.450000e+02	1.970311e-07	3.203020e-09	2.743220e-09
1.450000e+02	1.500000e+02	1.730909e-07	3.058280e-09	2.697720e-09
1.500000e+02	1.550000e+02	1.526177e-07	2.927680e-09	2.651480e-09
1.550000e+02	1.600000e+02	1.347340e-07	2.733460e-09	2.515600e-09
1.600000e+02	1.650000e+02	1.195070e-07	2.578540e-09	2.413280e-09
1.650000e+02	1.700000e+02	1.059750e-07	2.406820e-09	2.282780e-09
1.700000e+02	1.750000e+02	9.486088e-08	2.242720e-09	2.147300e-09
1.750000e+02	1.800000e+02	8.481256e-08	2.108920e-09	2.043440e-09
1.800000e+02	1.850000e+02	7.632318e-08	1.982700e-09	1.939900e-09
1.850000e+02	1.900000e+02	6.867176e-08	1.854940e-09	1.829820e-09
1.900000e+02	1.950000e+02	6.204948e-08	1.739100e-09	1.728880e-09
1.950000e+02	2.000000e+02	5.578286e-08	1.614700e-09	1.615480e-09
2.000000e+02	2.050000e+02	5.093118e-08	1.523880e-09	1.533940e-09
2.050000e+02	2.100000e+02	4.650350e-08	1.446380e-09	1.467220e-09
2.100000e+02	2.150000e+02	4.230644e-08	1.349380e-09	1.374820e-09
2.150000e+02	2.200000e+02	3.823656e-08	1.249260e-09	1.278060e-09
2.200000e+02	2.250000e+02	3.491924e-08	1.169740e-09	1.202040e-09
2.250000e+02	2.300000e+02	3.219176e-08	1.107760e-09	1.143420e-09
2.300000e+02	2.350000e+02	2.927090e-08	1.032580e-09	1.070240e-09
2.350000e+02	2.400000e+02	2.679890e-08	9.667800e-10	1.005740e-09
2.400000e+02	2.450000e+02	2.510116e-08	9.276600e-10	9.687800e-10
2.450000e+02	2.500000e+02	2.322772e-08	8.798800e-10	9.226000e-10
2.500000e+02	2.550000e+02	2.134024e-08	8.209000e-10	8.626200e-10
2.550000e+02	2.600000e+02	1.956748e-08	7.689640e-10	8.107960e-10
